"seller_id","total_revenue","total_orders","on_time_deliveries","on_time_delivery_pct","avg_review_score"
"240b9776d844d37535668549a396af32",14171.650000000001,"35","33","94.29","4.28"
"ff063b022a9a0aab91bad2c9088760b7",14061.269999999993,"96","93","96.88","4.28"
"95e03ca3d4146e4011985981aeb959b9",14054.460000000008,"190","184","96.84","3.97"
"1ca7077d890b907f89be8c954a02686a",13996.649999999992,"127","102","80.31","2.20"
"75d34ebb1bd0bd7dde40dd507b8169c3",13969.770000000004,"67","57","85.07","3.82"
"cab85505710c7cb9b720bceb52b01cee",13951.990000000018,"204","199","97.55","4.29"
"0be8ff43f22e456b4e0371b2245e4d01",13844.490000000005,"175","164","93.71","3.89"
"b372ee768ed69e46ca8cdbd267aa7a38",13813.840000000004,"69","69","100.00","4.40"
"80e6699fe29150b372a0c8a1ebf7dcc8",13786.81,"98","94","95.92","4.29"
"e24fc9fcd865784fb25705606fe3dfe7",13780.710000000005,"55","51","92.73","4.20"
"8cc6a0e5738e61a87b03c78b2ba9db4b",13776.599999999999,"24","22","91.67","4.15"
"99eaacc9e6046db1c82b163c5f84869f",13723.939999999999,"67","60","89.55","3.90"
"6cd68b3ed6d59aaa9fece558ad360c0a",13718.459999999994,"157","154","98.09","4.44"
"5a8e7d5003a1f221f9e1d6e411de7c23",13708.799999999994,"179","168","93.85","4.17"
"adbc26658d6c7b4b6219f9d934598091",13692.249999999989,"92","78","84.78","4.05"
"c8b0e2b0a7095e5d8219575d5e7e1181",13657.339999999995,"85","79","92.94","4.05"
"70c27847eca8195c983ed7e798c56743",13529.179999999998,"98","89","90.82","4.20"
"056b4ada5bbc2c50cc7842547dda6b51",13485.790000000005,"65","58","89.23","4.12"
"e8b3a3a38279a82f0e5d006d5e5b7d2c",13408.210000000005,"85","81","95.29","3.74"
"ed4acab38528488b65a9a9c603ff024a",13369.760000000002,"40","38","95.00","3.73"
"87b740daf17b5d1be335a64164ec6842",13354.83,"11","10","90.91","3.31"
"09f952a5f58d2285b0372551ae8f9b01",13346.460000000003,"56","53","94.64","3.88"
"1d8dbc4f32378d715c717c1c1fc57bae",13291.140000000001,"97","88","90.72","3.88"
"ad97a199236354e53fcd91a5a913e9a2",13284.02,"17","15","88.24","4.50"
"039e6ad9dae79614493083e241147386",13273.419999999998,"5","4","80.00","4.00"
"25e6ffe976bd75618accfe16cefcbd0d",13239.800000000003,"115","109","94.78","4.38"
"7202e2ba20579a9bd1acb29e61fe71f6",13217.209999999997,"53","50","94.34","3.83"
"c66dccfb3f109511246da627dd5a2498",13127.290000000003,"44","42","95.45","4.49"
"8b8cfc8305aa441e4239358c9f6f2485",13110.699999999999,"15","13","86.67","4.20"
"562fc2f2c2863ab7e79a9e4388a58a14",12884.210000000005,"265","256","96.60","4.24"
"1da3aeb70d7989d1e6d9b0e887f97c23",12867.080000000009,"324","308","95.06","4.07"
"b4f8921fcc4ff77b66bea6dda43dcd51",12863.410000000003,"20","19","95.00","4.60"
"d1b65fc7debc3361ea86b5f14c68d2e2",12823.32,"40","38","95.00","4.56"
"5058e8c1e82653974541e83690655b4a",12821.460000000005,"77","67","87.01","3.08"
"6e386f64c84e482f0b9abf960797ee1b",12820.809999999998,"29","26","89.66","4.61"
"ccb83a794700270fde70898fe9ff368b",12785.73,"12","10","83.33","4.33"
"c9c7905cffc4ef9ff9f113554423e671",12766.71,"139","123","88.49","4.15"
"fbc14c0cf93505ef89f64665ffa4a7b5",12758.93,"18","17","94.44","4.18"
"b499c00f28f4b7069ff6550af8c1348a",12665.779999999992,"182","162","89.01","4.12"
"f262cbc1c910c83959f849465454ddd3",12654.900000000014,"204","185","90.69","4.09"
"72c5da29406b4234927b81855e7b64f6",12652.469999999998,"31","30","96.77","4.13"
"66e0557ecc2b4dbea057e93f215f68d8",12628.419999999998,"30","22","73.33","3.94"
"dd2bdf855a9172734fbc3744021ae9b9",12599.010000000007,"110","104","94.55","3.82"
"ca3bd7cd9f149df75950150d010fe4a2",12572.360000000006,"135","132","97.78","3.73"
"1c129092bf23f28a5930387c980c0dfc",12550.19000000001,"219","208","94.98","4.17"
"4830e40640734fc1c52cd21127c341d4",12502.419999999993,"212","198","93.40","4.10"
"7901646fdd36a55f564ffaf2dbccaaf7",12478.830000000004,"27","23","85.19","4.44"
"7ea5bfa6c340f58f8e71fc1f0412b0d6",12470.259999999998,"102","95","93.14","4.08"
"54965bbe3e4f07ae045b90b0b8541f52",12427.960000000003,"81","55","67.90","2.94"
"7040e82f899a04d1b434b795a43b4617",12336.960000000006,"223","203","91.03","3.53"
"c864036feaab8c1659f65ea4faebe1da",12299.77,"58","56","96.55","4.57"
"82e0a475a88cc9595229d8029273f045",12216.400000000001,"79","74","93.67","3.46"
"5343d0649eca2a983820bfe93fc4d17e",12194.09,"110","100","90.91","3.61"
"33a6f4b1e7cdc205511e76ba1b6e0186",12183.91,"126","124","98.41","4.36"
"c4d51195486dc781531876a7d00453d8",12038.350000000002,"17","12","70.59","3.94"
"bba3293d6f5d5af2f415e004e8b93ae3",12028.789999999999,"17","16","94.12","4.29"
"dd7ddc04e1b6c2c614352b383efe2d36",12025.179999999991,"142","121","85.21","3.75"
"17ca9b9e9b9ef8fdb529001b49ebb50f",11998.820000000003,"128","125","97.66","4.00"
"c60b801f2d52c7f7f91de00870882a75",11994.939999999999,"39","31","79.49","3.32"
"23d7c96d4a1160db1c726b248601b25a",11947.169999999996,"52","46","88.46","3.81"
"f3b80352b986ab4d1057a4b724be19d0",11941.359999999997,"91","91","100.00","4.13"
"4e7c18b98d84e05cbae3ff0ff03846c2",11862.36,"88","84","95.45","4.13"
"32b8764b4ef628b53608fc34011fcc13",11854.419999999996,"38","35","92.11","4.24"
"9d5a9018aee56acb367ba9c3f05d1d6a",11791.39,"78","77","98.72","4.41"
"f80edd2c5aaa505cc4b0a3b219abf4b8",11790.619999999999,"125","117","93.60","4.08"
"6973a06f484aacf400ece213dbf3d946",11706.590000000002,"108","90","83.33","3.50"
"aafe36600ce604f205b86b5084d3d767",11673.199999999995,"131","125","95.42","4.38"
"aaed1309374718fdd995ee4c58c9dfcd",11659.729999999994,"111","108","97.30","4.05"
"ce27a3cc3c8cc1ea79d11e561e9bebb6",11620.120000000006,"151","148","98.01","3.85"
"5d378b73ab7dd6f0418d743e5dcb0bd1",11612.7,"6","5","83.33","3.86"
"31344c16881c08a8a72c6d2eb29918c1",11574.350000000002,"42","40","95.24","4.35"
"8b28d096634035667e8263d57ba3368c",11533.039999999995,"151","131","86.75","3.86"
"3db66a856d18a9cba7c9241fc5221c50",11522.659999999994,"97","86","88.66","4.18"
"01cf7e3d21494c41fb86034f2e714fa1",11404.009999999998,"65","62","95.38","4.21"
"0df3984f9dfb3d49ac6366acbd3bbb85",11374.539999999997,"88","87","98.86","4.30"
"9d4db00d65d7760644ac0c14edb5fd86",11355.3,"99","95","95.96","4.52"
"9b013e03b2ab786505a1d3b5c0756754",11270.830000000027,"220","208","94.55","4.00"
"92eb0f42c21942b6552362b9b114707d",11262.040000000008,"358","331","92.46","3.93"
"5656537e588803a555b8eb41f07a944b",11255.550000000008,"185","171","92.43","3.80"
